age_at_draft,athleticism_0_100,breakout_age,deterministic_grade_0_100,draft_capital_proxy_0_100,draft_year,early_declare_flag,hit_label,player_id,player_name,position,production_0_100,size_context_0_100,speed_proxy_0_100,target_threshold
,,,,95.0,2022,,0,wr-drake-london-2022,Drake London,WR,34.0,70.0,,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,86.4,,,85.0,2022,,1,wr-chris-olave-2022,Chris Olave,WR,45.2,40.0,86.4,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,,,,85.0,2022,,1,wr-jameson-williams-2022,Jameson Williams,WR,66.7,36.67,,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,57.8,,,85.0,2022,,0,wr-treylon-burks-2022,Treylon Burks,WR,50.5,58.89,57.8,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,85.1,,,65.0,2019,,1,wr-aj-brown-2019,A.J. Brown,WR,,62.9,85.1,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,96.6,,,60.0,2019,,1,wr-dk-metcalf-2019,D.K. Metcalf,WR,,75.5,96.6,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,67.1,,,70.0,2019,,0,wr-deebo-samuel-2019,Deebo Samuel,WR,,50.7,67.1,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,52.9,,,80.0,2019,,1,wr-marquise-brown-2019,Marquise Brown,WR,,27.5,52.9,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,59.8,,,80.0,2020,,1,wr-michael-pittman-2020,Michael Pittman Jr.,WR,,74.2,59.8,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,82.8,,,78.0,2018,,0,te-mark-andrews-2018,Mark Andrews,TE,,53.0,82.8,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,61.4,,,72.0,2018,,1,te-dallas-goedert-2018,Dallas Goedert,TE,,51.4,61.4,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,89.8,,,92.0,2019,,0,te-tj-hockenson-2018,T.J. Hockenson,TE,,49.2,89.8,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,98.3,,,86.0,2019,,1,te-noah-fant-2019,Noah Fant,TE,,49.0,98.3,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,58.4,,,74.0,2020,,0,te-cole-kmet-2020,Cole Kmet,TE,,56.7,58.4,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,94.2,,,97.0,2021,,1,te-kyle-pitts-2021,Kyle Pitts,TE,,54.6,94.2,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,69.7,,,70.0,2021,,0,te-pat-freiermuth-2021,Pat Freiermuth,TE,,51.2,69.7,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,65.5,,,68.0,2022,,1,te-trey-mcbride-2022,Trey McBride,TE,,43.4,65.5,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,61.2,,,63.0,2022,,0,te-isaiah-likely-2022,Isaiah Likely,TE,,46.0,61.2,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,72.1,,,76.0,2023,,1,te-sam-laporta-2023,Sam LaPorta,TE,,42.7,72.1,"WR/RB<=24, TE<=12, QB<=15 by year 3"
